,MP_asset_symbol,MP_timestamp,MP_price_open,MP_price_high,MP_price_low,MP_price_close,MP_volume,MP_marketcap
78,tether,2020-04-19,0.9983,1.0,0.9983,0.999861,45490197746.04875,6348280713.036977
79,tether,2020-04-20,0.998725,1.0025,0.998725,0.99989575,43089462603.40397,6370176428.689886
80,tether,2020-04-21,0.99915,1.005,0.99915,0.9999305,53459844830.364655,6369201538.20172
81,tether,2020-04-22,0.999575,1.0075,0.999575,0.99996525,41986273919.18073,6355845853.437884
82,tether,2020-04-23,1.0,1.01,1.0,1.0,43904285472.12395,7133234307.712267
83,tether,2020-04-24,0.99901475,1.0075,0.99901475,1.0,53558553516.51579,7101969333.498758
84,tether,2020-04-25,0.9980295,1.005,0.9980295,1.0,44001584613.69506,7109426016.447717
85,tether,2020-04-26,0.99704425,1.0025,0.99704425,1.0,42857863260.703,7125314349.5182
86,tether,2020-04-27,0.996059,1.0,0.996059,1.0,45033285595.4771,7139857876.920758
87,tether,2020-04-28,0.9973726666666668,1.0,0.996541,0.9991683333333332,47193280712.58293,7149322731.405218
88,tether,2020-04-29,0.9986863333333332,1.0,0.997023,0.9983366666666668,43595220244.48609,7134423239.958819
89,tether,2020-04-30,1.0,1.0,0.997505,0.997505,75958226742.98386,7692068637.459578
90,tether,2020-05-01,0.9999263333333334,1.0,0.998263,0.9983366666666668,84999917731.29776,7699585322.264011
91,tether,2020-05-02,0.9998526666666666,1.0,0.999021,0.9991683333333332,55197921796.50642,7792729872.971917
92,tether,2020-05-03,0.999779,1.0,0.999779,1.0,47700364820.9669,7801751804.259999
93,tether,2020-05-04,0.99983425,1.0,0.99940275,0.999794,55765464906.53109,7820865420.207942
94,tether,2020-05-05,0.9998895,1.0,0.9990265,0.999588,57630724245.32456,7790956108.477815
95,tether,2020-05-06,0.99994475,1.0,0.99865025,0.999382,52386275320.10156,7861206043.337105
96,tether,2020-05-07,1.0,1.0,0.998274,0.999176,56226762724.29138,7930935317.334048
97,tether,2020-05-08,1.0,1.0,0.9983065,0.999382,68944822444.00212,8079054026.436567
98,tether,2020-05-09,1.0,1.0,0.998339,0.999588,60270913930.14915,8155833351.537392
99,tether,2020-05-10,1.0,1.0,0.9983715,0.999794,56552333548.64607,8313422573.53834
100,tether,2020-05-11,1.0,1.0,0.998404,1.0,78389785215.82169,8473215858.870962
101,tether,2020-05-12,0.99989075,1.0,0.99869375,1.0,66424573913.48932,8491686231.453566
102,tether,2020-05-13,0.9997815,1.0,0.9989835,1.0,47760079591.98937,8640172742.42414
103,tether,2020-05-14,0.99967225,1.0,0.99927325,1.0,50545487123.40242,8634423669.521152
104,tether,2020-05-15,0.999563,1.0,0.999563,1.0,59178153296.753685,8807791056.89655
105,tether,2020-05-16,0.99961675,1.0,0.9990495,0.99937725,49089484777.71272,8864847685.30716
106,tether,2020-05-17,0.9996705,1.0,0.998536,0.9987545,40618057109.89284,8887329332.965754
107,tether,2020-05-18,0.99972425,1.0,0.9980225,0.99813175,42084041224.16996,8975796528.270578
108,tether,2020-05-19,0.999778,1.0,0.997509,0.997509,46748899695.666855,8946398316.112976
109,tether,2020-05-20,0.999289,0.99987775,0.99758725,0.9980095,43209788532.71389,8925141348.99949
110,tether,2020-05-21,0.9988,0.9997555,0.9976655,0.99851,41243470467.91824,8949763767.907099
111,tether,2020-05-22,0.998311,0.99963325,0.99774375,0.9990105,43225592717.8193,8937031687.246744
112,tether,2020-05-23,0.997822,0.999511,0.997822,0.999511,32937533708.43999,8904835042.617306
113,tether,2020-05-24,0.997968,0.99963325,0.996894,0.99963325,30552160155.6397,8912893843.612572
114,tether,2020-05-25,0.998114,0.9997555,0.995966,0.9997555,34920026490.888176,8973070176.193398
115,tether,2020-05-26,0.99826,0.99987775,0.995038,0.99987775,34013862995.97205,9005148939.976181
116,tether,2020-05-27,0.998406,1.0,0.99411,1.0,29617065031.25226,9000991564.001087
117,tether,2020-05-28,0.9988045,1.0,0.99540975,1.0,31322648591.135464,9015071777.711218
118,tether,2020-05-29,0.999203,1.0,0.9967095,1.0,34797264723.70739,9034880313.063711
119,tether,2020-05-30,0.9996015,1.0,0.99800925,1.0,33620246092.31469,9046743741.068209
120,tether,2020-05-31,1.0,1.0,0.999309,1.0,37235543390.38031,9107846024.869492
121,tether,2020-06-01,0.999775,1.0033333333333334,0.9990806666666666,0.9995413333333332,32627799631.717827,9087003495.855902
122,tether,2020-06-02,0.99955,1.0066666666666666,0.9988523333333332,0.9990826666666668,34048708842.351543,9131206431.3614
123,tether,2020-06-03,0.999325,1.01,0.998624,0.998624,42872995283.20316,9212094570.570204
124,tether,2020-06-04,0.99935525,1.00748,0.9985885,0.9987515,29442673057.601025,9223480386.249006
125,tether,2020-06-05,0.9993855,1.00496,0.998553,0.998879,30187602640.27844,9264926473.527744
126,tether,2020-06-06,0.99941575,1.00244,0.9985175,0.9990065,28734958998.505398,9267985509.014711
127,tether,2020-06-07,0.999446,0.99992,0.998482,0.999134,22910480210.61739,9281349701.220112
128,tether,2020-06-08,0.999528,0.99994,0.998704,0.9993505,28210803967.2387,9304968054.95925
129,tether,2020-06-09,0.99961,0.99996,0.998926,0.999567,24172777707.389256,9330982636.887531
130,tether,2020-06-10,0.999692,0.99998,0.999148,0.9997835,26552439420.947216,9350784917.608734
131,tether,2020-06-11,0.999774,1.0,0.99937,1.0,27388578283.85683,9408692692.61926
132,tether,2020-06-12,0.999758,1.0,0.99926375,0.99973625,38003904519.30277,9436245876.511108
133,tether,2020-06-13,0.999742,1.0,0.9991575,0.9994725,28744857527.188385,9486299302.532066
134,tether,2020-06-14,0.999726,1.0,0.99905125,0.99920875,23355108349.00163,9481923029.653166
135,tether,2020-06-15,0.99971,1.0,0.998945,0.998945,22865446153.535843,9493593132.609491
136,tether,2020-06-16,0.9997825,1.0,0.99906975,0.99906975,35039555236.67991,9518736918.186726
137,tether,2020-06-17,0.999855,1.0,0.9991945,0.9991945,26639060169.804592,9544643008.51534
138,tether,2020-06-18,0.9999275,1.0,0.99931925,0.99931925,20909232570.602787,9549847479.554846
139,tether,2020-06-19,1.0,1.0,0.999444,0.999444,18625870198.26668,9574951885.114128
140,tether,2020-06-20,0.99997175,1.0,0.99948025,0.99956675,22376136141.213184,9614392469.97571
141,tether,2020-06-21,0.9999435,1.0,0.9995165,0.9996895,17480394343.707615,9627169919.215635
142,tether,2020-06-22,0.99991525,1.0,0.99955275,0.99981225,17419231016.229588,9622223221.90068
143,tether,2020-06-23,0.999887,1.0,0.999589,0.999935,22699390532.037083,9630499942.836613
144,tether,2020-06-24,0.999843,1.0,0.9994835,0.999743,20664373416.55096,9601992527.14438
145,tether,2020-06-25,0.999799,1.0,0.999378,0.999551,23155567662.136223,9615414191.191792
146,tether,2020-06-26,0.999755,1.0,0.9992725,0.999359,20789038541.34347,9592877640.239046
147,tether,2020-06-27,0.999711,1.0,0.999167,0.999167,20393765143.24732,9629325844.443869
148,tether,2020-06-28,0.999711,1.0,0.9993483333333334,0.9994446666666666,19436079383.763718,9638700261.322134
149,tether,2020-06-29,0.999711,1.0,0.9995296666666666,0.9997223333333334,17870128211.01404,9634384874.881834
150,tether,2020-06-30,0.999711,1.0,0.999711,1.0,18799274674.86464,9628668055.154743
151,tether,2020-07-01,0.9998073333333334,1.0,0.9997393333333332,0.999932,17274516831.34366,9637841652.81123
152,tether,2020-07-02,0.9999036666666666,1.0,0.9997676666666668,0.999864,18550074178.8666,9639104881.168352
153,tether,2020-07-03,1.0,1.0,0.999796,0.999796,17977098574.312508,9647929508.439756
154,tether,2020-07-04,0.9998305,1.0,0.9996775,0.999847,16321674173.378328,9643357747.268692
155,tether,2020-07-05,0.999661,1.0,0.999559,0.999898,16029612919.628395,9704261207.525513
156,tether,2020-07-06,0.9994915,1.0,0.9994405,0.999949,16567482577.675608,9708811153.072803
157,tether,2020-07-07,0.999322,1.0,0.999322,1.0,25444931938.95046,9712908096.058014
158,tether,2020-07-08,0.9994915,1.0,0.99921425,0.99996425,19384001352.66641,9734760495.506432
159,tether,2020-07-09,0.999661,1.0,0.9991065,0.9999285,22921524144.66786,9736967713.022522
160,tether,2020-07-10,0.9998305,1.0,0.99899875,0.99989275,20256549937.640617,9783869272.830845
161,tether,2020-07-11,1.0,1.0,0.998891,0.999857,17302019437.36147,9803667486.86557
162,tether,2020-07-12,0.999971,0.9999885,0.99908,0.9998045,15114579704.196287,9824421803.246971
163,tether,2020-07-13,0.999942,0.999977,0.999269,0.999752,16323711434.78432,9823245541.316175
164,tether,2020-07-14,0.999913,0.9999655,0.999458,0.9996995,19668542756.660885,9848359865.8821
165,tether,2020-07-15,0.999884,0.999954,0.999647,0.999647,18335355881.545506,9845335826.76726
166,tether,2020-07-16,0.9995985,0.9999655,0.99942075,0.99973525,16408360294.338612,9858754628.68023
167,tether,2020-07-17,0.999313,0.999977,0.9991945,0.9998235,18648706543.404217,9880260498.403952
168,tether,2020-07-18,0.9990275,0.9999885,0.99896825,0.99991175,15220945794.863234,9880407857.120983
169,tether,2020-07-19,0.998742,1.0,0.998742,1.0,14258134177.943882,9884364193.465317
170,tether,2020-07-20,0.9990565,1.0,0.9990565,1.0,15535523295.355022,9913964260.40362
171,tether,2020-07-21,0.999371,1.0,0.999371,1.0,17854702861.515415,9913573514.91013
172,tether,2020-07-22,0.9996855,1.0,0.9996855,1.0,19597893160.43349,9921658839.98397
173,tether,2020-07-23,1.0,1.0,1.0,1.0,18165018452.377995,10016213022.275948
174,tether,2020-07-24,0.999823,1.0,0.999823,1.0,19021249993.149014,10062892351.3544
175,tether,2020-07-25,0.999646,1.0,0.999646,1.0,19953796003.25613,10162563057.570114
176,tether,2020-07-26,0.999469,1.0,0.999469,1.0,23254711181.39502,10213180914.176388
177,tether,2020-07-27,0.999292,1.0,0.999292,1.0,26864814368.891567,10216671823.882736
178,tether,2020-07-28,0.9981945,1.0,0.9981945,1.0,39319586340.57011,10163253369.563332
179,tether,2020-07-29,0.997097,1.0,0.997097,1.0,34821890824.426414,10472196877.003702
180,tether,2020-07-30,0.9959995,1.0,0.9959995,1.0,28422173043.706738,10617855493.5351
181,tether,2020-07-31,0.994902,1.0,0.994902,1.0,28117378154.96257,10707864336.46751
182,tether,2020-08-01,0.9965433333333332,1.0,0.9964963333333332,0.999895,27673049712.20945,10778488966.5884
183,tether,2020-08-02,0.9981846666666666,1.0,0.9980906666666668,0.99979,35103857611.16588,10941249518.541092
184,tether,2020-08-03,0.999826,1.0,0.999685,0.999685,40139374760.16904,11062349221.834326
185,tether,2020-08-04,0.99979225,1.0,0.9996865,0.99976375,28941879575.674217,11118634671.41413
186,tether,2020-08-05,0.9997585,1.0,0.999688,0.9998425,28762359113.65393,11182209134.55455
187,tether,2020-08-06,0.99972475,1.0,0.9996895,0.99992125,27504907872.25747,11252929576.204271
188,tether,2020-08-07,0.999691,1.0,0.999691,1.0,27830621831.799835,11334228793.937506
189,tether,2020-08-08,0.99976825,1.0,0.9997505,1.0,31470497321.42682,11495140099.99963
190,tether,2020-08-09,0.9998455,1.0,0.99981,1.0,25882723936.216022,11578515768.948845
191,tether,2020-08-10,0.99992275,1.0,0.9998695,1.0,26752535463.02327,11650317901.938906
192,tether,2020-08-11,1.0,1.0,0.999929,1.0,34055074962.86306,11698790361.505045
193,tether,2020-08-12,1.0,1.0,0.99994675,1.0,35736281858.61371,11858746977.85641
194,tether,2020-08-13,1.0,1.0,0.9999645,1.0,34892410681.11405,11896892578.11066
195,tether,2020-08-14,1.0,1.0,0.99998225,1.0,38251376244.93908,12000642229.353855
196,tether,2020-08-15,1.0,1.0,1.0,1.0,33091182634.2067,12238797982.615112
197,tether,2020-08-16,0.9994465,1.0,0.9994465,0.9999795,34427440251.3976,12215059078.065254
198,tether,2020-08-17,0.998893,1.0,0.998893,0.999959,32550433816.11491,12248808990.550749
199,tether,2020-08-18,0.9983395,1.0,0.9983395,0.9999385,37455083629.70348,12392582270.175108
200,tether,2020-08-19,0.997786,1.0,0.997786,0.999918,38397719107.35126,12603054668.447298
201,tether,2020-08-20,0.9981695,1.0,0.9981695,0.99989475,36401433567.62797,12605339229.678225
202,tether,2020-08-21,0.998553,1.0,0.998553,0.9998715,33184899863.669483,12660117156.639263
203,tether,2020-08-22,0.9989365,1.0,0.9989365,0.99984825,39741010255.02947,12762557153.567696
204,tether,2020-08-23,0.99932,1.0,0.99932,0.999825,33313211681.41461,12812234222.111702
205,tether,2020-08-24,0.99949,1.0,0.99949,0.99986875,30892345717.984447,12830042987.310995
