,MP_asset_symbol,MP_timestamp,MP_price_in_stable
6475,osmosis,2022-04-05,8.218197548566048
6476,osmosis,2022-04-06,7.861142589851402
6477,osmosis,2022-04-07,7.34689122310023
6478,osmosis,2022-04-08,7.311172796470125
6479,osmosis,2022-04-09,6.935616888451171
6480,osmosis,2022-04-10,6.899582988433539
6481,osmosis,2022-04-11,6.700834336281541
6482,osmosis,2022-04-12,6.06269824707019
6483,osmosis,2022-04-13,6.1477801496437126
6484,osmosis,2022-04-14,6.169285794733666
6485,osmosis,2022-04-15,5.98465782694856
6486,osmosis,2022-04-16,5.901941902255508
6487,osmosis,2022-04-17,5.818779984647449
6488,osmosis,2022-04-18,5.613910613366664
6489,osmosis,2022-04-19,5.767326650648538
6490,osmosis,2022-04-20,5.845337569255655
6491,osmosis,2022-04-21,5.6799202173695145
6492,osmosis,2022-04-22,5.499683360057556
6493,osmosis,2022-04-23,5.334847131394517
6494,osmosis,2022-04-24,5.275098236756979
6495,osmosis,2022-04-25,5.000219588692931
6496,osmosis,2022-04-26,4.886390156249623
6497,osmosis,2022-04-27,4.484134760361284
6498,osmosis,2022-04-28,4.607604428304787
6499,osmosis,2022-04-29,4.4262503295572335
6500,osmosis,2022-04-30,4.188356296176031
6501,osmosis,2022-05-01,3.9019215362145245
6502,osmosis,2022-05-02,3.8135568585110184
6503,osmosis,2022-05-03,3.775719387326574
6504,osmosis,2022-05-04,3.818167632291891
6505,osmosis,2022-05-05,4.168925213741171
6506,osmosis,2022-05-06,3.869634524597421
6507,osmosis,2022-05-07,3.7888358333232928
6508,osmosis,2022-05-08,3.547191833329977
6509,osmosis,2022-05-09,3.380783475508981
6510,osmosis,2022-05-10,2.6023943401740772
6511,osmosis,2022-05-11,2.5653015287439915
6512,osmosis,2022-05-12,2.2846647282352595
6513,osmosis,2022-05-13,1.7043552044782495
6514,osmosis,2022-05-14,1.4577536271387803
6515,osmosis,2022-05-15,1.554537171469298
6516,osmosis,2022-05-16,1.7701004881111801
6517,osmosis,2022-05-17,1.605089554377682
6518,osmosis,2022-05-18,1.6545804521682173
6519,osmosis,2022-05-19,1.4639595400179262
6520,osmosis,2022-05-20,1.5726818086106182
6521,osmosis,2022-05-21,1.7204356851411784
6522,osmosis,2022-05-22,1.7540171962074234
6523,osmosis,2022-05-23,1.7967914233723792
6524,osmosis,2022-05-24,1.7750556859228688
6525,osmosis,2022-05-25,1.6877537030266447
6526,osmosis,2022-05-26,1.5899916669892342
6527,osmosis,2022-05-27,1.4437508489371782
6528,osmosis,2022-05-28,1.3192845033810867
6529,osmosis,2022-05-29,1.357664221081234
6530,osmosis,2022-05-30,1.3616214005355072
6531,osmosis,2022-05-31,1.4270498303351768
6532,osmosis,2022-06-01,1.3848885330632619
6533,osmosis,2022-06-02,1.258178998040186
6534,osmosis,2022-06-03,1.2670103235605261
6535,osmosis,2022-06-04,1.2189733574377164
6536,osmosis,2022-06-05,1.2232954479398763
