,MP_timestamp,MP_price_in_stable
186,2021-07-06,48025571786.2746
187,2021-07-07,47911049403.29391
188,2021-07-08,47911049403.29391
189,2021-07-09,47911049403.29391
190,2021-07-10,47911049403.29391
191,2021-07-11,47911049403.29391
192,2021-07-12,47911049403.29391
193,2021-07-13,47911049403.29391
194,2021-07-14,47907449296.9082
195,2021-07-15,47907449296.9082
196,2021-07-16,47907449296.9082
197,2021-07-17,47907449296.9082
198,2021-07-18,47907449296.9082
199,2021-07-19,47907449296.9082
200,2021-07-20,47907449296.9082
201,2021-07-21,47907449296.9082
202,2021-07-22,47905593515.18782
203,2021-07-23,47905593515.18782
204,2021-07-24,47905593515.18782
205,2021-07-25,47905593515.18782
206,2021-07-26,47905593515.18782
207,2021-07-27,47905593515.18782
208,2021-07-28,47905593515.18782
209,2021-07-29,47901173933.78729
210,2021-07-30,47901173933.78729
211,2021-07-31,47901173933.78729
212,2021-08-01,47901173933.78729
213,2021-08-02,47901173933.78729
214,2021-08-03,47901173933.78729
215,2021-08-04,47901173933.78729
216,2021-08-05,47902456204.93456
217,2021-08-06,47902456204.93456
218,2021-08-07,47902456204.93456
219,2021-08-08,47902456204.93456
220,2021-08-09,47902456204.93456
221,2021-08-10,47902456204.93456
222,2021-08-11,47902456204.93456
223,2021-08-12,47900468492.49152
224,2021-08-13,47900468492.49152
225,2021-08-14,47900468492.49152
226,2021-08-15,47900468492.49152
227,2021-08-16,47900468492.49152
228,2021-08-17,47900468492.49152
229,2021-08-18,47900468492.49152
230,2021-08-19,47894617620.265564
231,2021-08-20,47896108761.54471
232,2021-08-21,47897394102.49822
233,2021-08-22,47897394102.49822
234,2021-08-23,47899366899.079346
235,2021-08-24,47909360960.59395
236,2021-08-25,47909915129.06337
237,2021-08-26,47921073030.26279
238,2021-08-27,47930197010.52332
239,2021-08-28,47941234670.83938
240,2021-08-29,47942283972.01191
241,2021-08-30,47942983036.22717
242,2021-08-31,47966252528.66815
243,2021-09-01,47983129034.86273
244,2021-09-02,47986461067.53865
245,2021-09-03,47986461067.53865
246,2021-09-04,47986461067.53865
247,2021-09-05,47986461067.53865
248,2021-09-06,47986461067.53865
249,2021-09-07,47986461067.53865
250,2021-09-08,47986461067.53865
251,2021-09-09,48003488948.782486
252,2021-09-10,48003488948.782486
253,2021-09-11,48003488948.782486
254,2021-09-12,48003488948.782486
255,2021-09-13,48003488948.782486
256,2021-09-14,48003488948.782486
257,2021-09-15,48003488948.782486
258,2021-09-16,48003488948.782486
259,2021-09-17,48013071524.597244
260,2021-09-18,48013071524.597244
261,2021-09-19,48013071524.597244
262,2021-09-20,48013071524.597244
263,2021-09-21,48013071524.597244
264,2021-09-22,48013071524.597244
265,2021-09-23,48013071524.597244
266,2021-09-24,48013984102.43584
267,2021-09-25,48013984102.43584
268,2021-09-26,48013984102.43584
269,2021-09-27,48013984102.43584
270,2021-09-28,48013984102.43584
271,2021-09-29,48013984102.43584
272,2021-09-30,48013984102.43584
273,2021-10-01,48042237626.32518
274,2021-10-02,48042237626.32518
275,2021-10-03,48042237626.32518
276,2021-10-04,48042237626.32518
277,2021-10-05,48042237626.32518
278,2021-10-06,48042237626.32518
279,2021-10-07,48042237626.32518
280,2021-10-08,48051396463.4348
281,2021-10-09,48051396463.4348
282,2021-10-10,48051396463.4348
283,2021-10-11,48051396463.4348
284,2021-10-12,48051396463.4348
285,2021-10-13,48051396463.4348
286,2021-10-14,48051396463.4348
287,2021-10-15,48051702153.6483
288,2021-10-16,48051702153.6483
289,2021-10-17,48051702153.6483
290,2021-10-18,48051702153.6483
291,2021-10-19,48051702153.6483
292,2021-10-20,48051702153.6483
293,2021-10-21,48051702153.6483
294,2021-10-22,48059865397.30481
295,2021-10-23,48059865397.30481
296,2021-10-24,48059865397.30481
297,2021-10-25,48059865397.30481
298,2021-10-26,48059865397.30481
299,2021-10-27,48059865397.30481
300,2021-10-28,48059865397.30481
301,2021-10-29,48058000234.00046
302,2021-10-30,48059085820.55925
303,2021-10-31,48059085820.55925
304,2021-11-01,48065643494.63262
305,2021-11-02,48065643494.63262
306,2021-11-03,48065643494.63262
307,2021-11-04,48065643494.63262
308,2021-11-05,48057092015.54776
309,2021-11-06,48057077582.452324
310,2021-11-07,48057470141.610275
